Titel: ART_DIVER
Gebruikersnaam: Vitens
Periode aangevraagd:
Datum: 2014/09/25 16:57:16
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B21D0098,002,21DP0098-2,198961.39,500287.61,110,,184,-1090,-1290,1986/10/08,1999/06/03
B21D0098,002,21DP0098-2,198961.39,500287.61,102,,184,-1090,-1290,1999/06/03,2005/11/04
B21D0098,002,21DP0098-2,198961.39,500287.61,102,,179,-1090,-1290,2005/11/04,2005/11/04
B21D0098,002,21DP0098-2,198961.39,500287.61,102,,179,-1090,-1290,2005/11/04,2007/11/14
B21D0098,002,21DP0098-2,198961.39,500287.61,102,,178,-1090,-1290,2007/11/14,2010/01/25
B21D0098,002,21DP0098-2,198961.39,500287.61,102,,178,-1090,-1290,2010/01/25,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B21D0098,002,1987/03/27 12:00:00,  59.0, 
B21D0098,002,1987/04/14 12:00:00,  48.0, 
B21D0098,002,1987/04/28 12:00:00,  38.0, 
B21D0098,002,1987/05/14 12:00:00,  41.0, 
B21D0098,002,1987/06/15 12:00:00,  49.0, 
B21D0098,002,1987/06/29 12:00:00,  59.0, 
B21D0098,002,1987/07/15 12:00:00,  46.0, 
B21D0098,002,1987/08/14 12:00:00,  57.0, 
B21D0098,002,1987/08/28 12:00:00,  48.0, 
B21D0098,002,1987/09/28 12:00:00,  43.0, 
B21D0098,002,1987/10/14 12:00:00,  45.0, 
B21D0098,002,1987/10/28 12:00:00,  40.0, 
B21D0098,002,1987/11/13 12:00:00,  42.0, 
B21D0098,002,1987/11/27 12:00:00,  57.0, 
B21D0098,002,1987/12/14 12:00:00,  50.0, 
B21D0098,002,1987/12/28 12:00:00,  55.0, 
B21D0098,002,1988/01/14 12:00:00,  55.0, 
B21D0098,002,1988/01/28 12:00:00,  62.0, 
B21D0098,002,1988/02/15 12:00:00,  65.0, 
B21D0098,002,1988/02/29 12:00:00,  53.0, 
B21D0098,002,1988/03/14 12:00:00,  54.0, 
B21D0098,002,1988/03/28 12:00:00,  76.0, 
B21D0098,002,1988/04/14 12:00:00,  57.0, 
B21D0098,002,1988/04/28 12:00:00,  48.0, 
B21D0098,002,1988/05/16 12:00:00,  40.0, 
B21D0098,002,1988/05/28 12:00:00,  40.0, 
B21D0098,002,1988/06/14 12:00:00,  44.0, 
B21D0098,002,1988/06/28 12:00:00,  39.0, 
B21D0098,002,1988/07/14 12:00:00,  42.0, 
B21D0098,002,1988/08/15 12:00:00,  40.0, 
B21D0098,002,1988/08/29 12:00:00,  53.0, 
B21D0098,002,1988/09/14 12:00:00,  45.0, 
B21D0098,002,1988/09/28 12:00:00,  46.0, 
B21D0098,002,1988/10/14 12:00:00,  51.0, 
B21D0098,002,1988/10/28 12:00:00,  43.0, 
B21D0098,002,1988/11/14 12:00:00,  38.0, 
B21D0098,002,1988/11/28 12:00:00,  34.0, 
B21D0098,002,1988/12/14 12:00:00,  58.0, 
B21D0098,002,1989/01/16 12:00:00,  44.0, 
B21D0098,002,1989/01/27 12:00:00,  36.0, 
B21D0098,002,1989/02/14 12:00:00,  38.0, 
B21D0098,002,1989/02/28 12:00:00,  46.0, 
B21D0098,002,1989/03/14 12:00:00,  47.0, 
B21D0098,002,1989/03/28 12:00:00,  49.0, 
B21D0098,002,1989/04/14 12:00:00,  47.0, 
B21D0098,002,1989/04/28 12:00:00,  50.0, 
B21D0098,002,1989/05/12 12:00:00,  39.0, 
B21D0098,002,1989/05/29 12:00:00,  32.0, 
B21D0098,002,1989/06/14 12:00:00,  32.0, 
B21D0098,002,1989/06/28 12:00:00,  29.0, 
B21D0098,002,1989/07/31 12:00:00,  37.0, 
B21D0098,002,1989/08/14 12:00:00,  33.0, 
B21D0098,002,1989/09/14 12:00:00,  32.0, 
B21D0098,002,1989/09/28 12:00:00,  27.0, 
B21D0098,002,1989/10/16 12:00:00,  29.0, 
B21D0098,002,1989/10/27 12:00:00,  24.0, 
B21D0098,002,1989/11/14 12:00:00,  27.0, 
B21D0098,002,1989/11/28 12:00:00,  18.0, 
B21D0098,002,1990/02/14 12:00:00,  51.0, 
B21D0098,002,1990/02/28 12:00:00,  54.0, 
B21D0098,002,1990/03/14 12:00:00,  48.0, 
B21D0098,002,1990/03/28 12:00:00,  35.0, 
B21D0098,002,1990/04/12 12:00:00,  29.0, 
B21D0098,002,1990/04/27 12:00:00,  30.0, 
B21D0098,002,1990/05/14 12:00:00,  33.0, 
B21D0098,002,1990/05/28 12:00:00,  28.0, 
B21D0098,002,1990/06/14 12:00:00,  30.0, 
B21D0098,002,1990/06/28 12:00:00,  29.0, 
B21D0098,002,1990/08/14 12:00:00,  20.0, 
B21D0098,002,1990/08/28 12:00:00,  26.0, 
B21D0098,002,1990/09/14 12:00:00,  34.0, 
B21D0098,002,1990/09/28 12:00:00,  33.0, 
B21D0098,002,1990/10/15 12:00:00,  30.0, 
B21D0098,002,1990/10/29 12:00:00,  27.0, 
B21D0098,002,1990/11/14 12:00:00,  43.0, 
B21D0098,002,1990/11/28 12:00:00,  53.0, 
B21D0098,002,1990/12/14 12:00:00,  41.0, 
B21D0098,002,1990/12/28 12:00:00,  47.0, 
B21D0098,002,1991/01/14 12:00:00,  60.0, 
B21D0098,002,1991/01/28 12:00:00,  41.0, 
B21D0098,002,1991/02/14 12:00:00,  31.0, 
B21D0098,002,1991/03/01 12:00:00,  36.0, 
B21D0098,002,1991/03/14 12:00:00,  31.0, 
B21D0098,002,1991/03/28 12:00:00,  29.0, 
B21D0098,002,1991/04/15 12:00:00,  30.0, 
B21D0098,002,1991/04/29 12:00:00,  28.0, 
B21D0098,002,1991/05/14 12:00:00,  29.0, 
B21D0098,002,1991/05/28 12:00:00,  29.0, 
B21D0098,002,1991/06/14 12:00:00,  31.0, 
B21D0098,002,1991/06/28 12:00:00,  61.0, 
B21D0098,002,1991/07/15 12:00:00,  37.0, 
B21D0098,002,1991/08/28 12:00:00,  21.0, 
B21D0098,002,1991/09/13 12:00:00,  18.0, 
B21D0098,002,1991/09/27 12:00:00,  28.0, 
B21D0098,002,1991/10/14 12:00:00,  27.0, 
B21D0098,002,1991/10/28 12:00:00,  24.0, 
B21D0098,002,1991/11/15 12:00:00,  43.0, 
B21D0098,002,1991/11/28 12:00:00,  35.0, 
B21D0098,002,1991/12/13 12:00:00,  24.0, 
B21D0098,002,1992/01/28 12:00:00,  31.0, 
B21D0098,002,1992/02/14 12:00:00,  33.0, 
B21D0098,002,1992/02/27 12:00:00,  30.0, 
B21D0098,002,1992/03/13 12:00:00,  60.0, 
B21D0098,002,1992/03/27 12:00:00,  43.0, 
