TITEL: FEWS Menyanthes Export
GEBRUIKERSNAAM: WielsmaEv
PERIODE: 2004/10/12-2004/12/31
DATUM:2016/12/27 11:10:01
REFERENTIE: NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X COORDINAAT,Y COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EINDE DATUM
28D0434,1,n/a,236263.71,484261.6,10.14,,10.8,5.0,7.0,2004/10/12,2004/12/31
28D0439,1,n/a,236924.24,484754.1,9.12,,9.02,6.0,7.01,2004/10/12,2004/12/31
28D0439,3,n/a,236924.24,484754.1,9.12,,9.02,30.0,32.0,2004/10/12,2004/12/31
28D0440,4,n/a,236457.45,483919.83,9.9,,9.74,33.0,35.0,2004/10/12,2004/12/31
28D0445,1,n/a,236485.47,482972.2,9.12,,9.07,2.0,4.0,2004/10/12,2004/12/31
28D0445,3,n/a,236485.47,482972.2,9.12,,9.0,23.0,25.0,2004/10/12,2004/12/31
28D0446,1,n/a,236183.87,484500.67,10.42,,10.37,8.02,10.02,2004/10/12,2004/12/31
28D0451,1,n/a,236278.49,484228.81,10.09,,10.64,5.0,7.0,2004/10/12,2004/12/31
28D0452,1,n/a,236325.89,484128.44,10.3,,10.8,3.5,4.5,2004/10/12,2004/12/31
28D0452,4,n/a,236325.89,484128.44,10.3,,10.74,30.0,32.0,2004/10/12,2004/12/31
28D0453,1,n/a,236424.24,484020.31,9.84,,10.42,1.0,2.0,2004/10/12,2004/12/31
28D0453,5,n/a,236424.24,484020.31,9.84,,10.32,30.0,32.0,2004/10/12,2004/12/31
28D0454,1,n/a,236620.45,483969.84,10.05,,10.58,2.0,3.0,2004/10/12,2004/12/31
28D0455,1,n/a,236972.75,483892.19,10.0,,9.97,5.5,7.5,2004/10/12,2004/12/31
28D0455,3,n/a,236972.75,483892.19,10.0,,9.94,30.0,32.0,2004/10/12,2004/12/31
28D0456,1,n/a,236370.65,484458.81,10.94,,11.44,8.4,10.4,2004/10/12,2004/12/31
28D0466,1,n/a,236056.58,484346.19,11.06,,11.55,8.0,10.0,2004/10/12,2004/12/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (NAP),BIJZONDERHEID
28D0434,1,2004/10/13 00:00:00,6.981,0
28D0434,1,2004/10/13 06:00:00,7.037,0
28D0434,1,2004/10/13 18:00:00,7.055,0
28D0434,1,2004/10/14 00:00:00,7.083,0
28D0434,1,2004/10/14 06:00:00,7.115,0
28D0434,1,2004/10/14 12:00:00,7.118,0
28D0434,1,2004/10/14 18:00:00,7.121,0
28D0434,1,2004/10/15 00:00:00,7.132,0
28D0434,1,2004/10/15 06:00:00,7.139,0
28D0434,1,2004/10/15 12:00:00,7.145,0
28D0434,1,2004/10/15 18:00:00,7.139,0
28D0434,1,2004/10/16 00:00:00,7.148,0
28D0434,1,2004/10/16 06:00:00,7.146,0
28D0434,1,2004/10/16 12:00:00,7.141,0
28D0434,1,2004/10/16 18:00:00,7.143,0
28D0434,1,2004/10/17 00:00:00,7.146,0
28D0434,1,2004/10/17 06:00:00,7.152,0
28D0434,1,2004/10/17 12:00:00,7.15,0
28D0434,1,2004/10/17 18:00:00,7.15,0
28D0434,1,2004/10/18 00:00:00,7.148,0
28D0434,1,2004/10/18 06:00:00,7.153,0
28D0434,1,2004/10/18 12:00:00,7.144,0
28D0434,1,2004/10/18 18:00:00,7.138,0
28D0434,1,2004/10/19 00:00:00,7.144,0
28D0434,1,2004/10/19 06:00:00,7.151,0
28D0434,1,2004/10/19 12:00:00,7.155,0
28D0434,1,2004/10/19 18:00:00,7.158,0
28D0434,1,2004/10/20 00:00:00,7.161,0
28D0434,1,2004/10/20 06:00:00,7.178,0
28D0434,1,2004/10/20 12:00:00,7.188,0
28D0434,1,2004/10/20 18:00:00,7.174,0
28D0434,1,2004/10/21 00:00:00,7.192,0
28D0434,1,2004/10/21 06:00:00,7.169,0
28D0434,1,2004/10/21 12:00:00,7.15,0
28D0434,1,2004/10/21 18:00:00,7.161,0
28D0434,1,2004/10/22 00:00:00,7.175,0
28D0434,1,2004/10/22 06:00:00,7.182,0
28D0434,1,2004/10/22 12:00:00,7.191,0
28D0434,1,2004/10/22 18:00:00,7.2,0
28D0434,1,2004/10/23 00:00:00,7.204,0
28D0434,1,2004/10/23 06:00:00,7.217,0
28D0434,1,2004/10/23 12:00:00,7.21,0
28D0434,1,2004/10/23 18:00:00,7.216,0
