RAPPORT: OPPERVLAKTEWATERSTANDEN 
CATEGORIE: GEMETEN STANDEN 
TITEL: Duinweilanden Texel ow
PERIODE: van 01/01/1900 t/m 15/01/2016
GEBRUIKER: HARKEMA
DATUM: 15/01/2016
 
SCHAAL CLUSTER,SCHAAL,OLGA NUMMER,SCHAAL CONSTRUCTIE,X COORDINAAT (m),Y COORDINAAT (m),MAAIVELD (cm NAP),MAAIVELD GESCHAT,START DATUM,EIND DATUM,MEETPUNT (cm NAP),MEETPUNT (cm MV)
,P04D0001,04DS7028,P,119095,576635,136,N,28/09/1981,01/06/1990,191,55
,P04D0002,04DS7029,P,119165,576655,,,28/09/1981,01/06/1990,188,
P04D0003,P04D0003,04DS7030,P,119195,576690,76,N,28/09/1981,25/07/1994,177,101
P04D0003,P04D0004,04DS7030,P,119220,576660,74,N,25/07/1994,08/07/2008,174,100
P04D0003,P04D0004,04DS7030,P,119220,576660,74,N,08/07/2008,17/12/2012,173,90
P04D0003,P04D0004,04DS7030,P,119220,576660,78,N,17/12/2012,,200,122
,P04D0005,04DS7031,P,119230,576860,86,N,28/09/1981,01/06/1990,194,108
,P04D0006,04DS7032,P,119185,576910,108,N,28/09/1981,14/07/1984,168,60
,P04D0006,04DS7032,P,119185,576910,108,N,14/07/1984,15/11/1985,157,
,P04D0007,04DS7033,P,117930,576125,130,N,13/09/1985,29/04/1986,300,170
,P04D0008,04DS7034,P,117955,576095,,,01/12/1985,16/12/1986,351,
,P04D0009,04DS7035,P,118265,576310,139,N,14/01/1985,29/04/1986,200,61
,P04D0010,,L,118186,576377,,,07/08/2008,31/08/2010,143,-6
P09B0022,P09B0022,09BS7039,P,117755,574605,,,01/06/1985,12/07/1994,209,
P09B0022,P09B0023,09BS7039,P,117776,574629,126,N,12/07/1994,08/07/2008,181,55
P09B0022,P09B0023,09BS7039,P,117776,574629,133,N,08/07/2008,31/08/2010,158,25
,P09B0024,09BS7040,P,117795,574625,,,01/06/1985,16/12/1986,249,
,P09B0047,09BS7096,P,117920,574700,,,25/07/1994,31/12/2004,253,

SCHAAL CLUSTER,SCHAAL,PEILDATUM,PEILTIJD,STAND(cm NAP), BIJZONDERHEID,KWALITEIT,BETROUWBAARHEID,OPMERKING
,P04D0001,28/09/1981,,,D,,,
,P04D0001,14/10/1981,,,D,,,
,P04D0001,28/10/1981,,,D,,,
,P04D0001,14/11/1981,,,D,,,
,P04D0001,28/11/1981,,,D,,,
,P04D0001,14/12/1981,,,D,,,
,P04D0001,28/12/1981,,,D,,,
,P04D0001,14/01/1982,,,D,,,
,P04D0001,28/01/1982,,129,,,,
,P04D0001,14/02/1982,,,D,,,
,P04D0001,28/02/1982,,,D,,,
,P04D0001,14/03/1982,,,D,,,
,P04D0001,29/03/1982,,,D,,,
,P04D0001,14/04/1982,,,D,,,
,P04D0001,28/04/1982,,,D,,,
,P04D0001,14/05/1982,,,D,,,
,P04D0001,29/05/1982,,,D,,,
,P04D0001,14/06/1982,,,D,,,
,P04D0001,28/06/1982,,,D,,,
,P04D0001,14/07/1982,,,D,,,
,P04D0001,28/07/1982,,,D,,,
,P04D0001,14/08/1982,,,D,,,
,P04D0001,28/08/1982,,,D,,,
,P04D0001,14/09/1982,,,D,,,
,P04D0001,28/09/1982,,,D,,,
,P04D0001,14/10/1982,,,D,,,
,P04D0001,28/10/1982,,,D,,,
,P04D0001,14/11/1982,,,D,,,
,P04D0001,29/11/1982,,,D,,,
,P04D0001,16/12/1982,,,D,,,
,P04D0001,28/12/1982,,,D,,,
,P04D0001,14/01/1983,,136,,,,
,P04D0001,30/01/1983,,,O,,,
,P04D0001,14/02/1983,,,D,,,
,P04D0001,28/02/1983,,,D,,,
,P04D0001,15/03/1983,,,D,,,
,P04D0001,28/03/1983,,135,,,,
,P04D0001,14/04/1983,,,D,,,
,P04D0001,30/04/1983,,,D,,,
,P04D0001,14/05/1983,,,D,,,
,P04D0001,28/05/1983,,,D,,,
,P04D0001,14/06/1983,,,D,,,
,P04D0001,30/06/1983,,,D,,,
,P04D0001,14/07/1983,,,D,,,
,P04D0001,28/07/1983,,,D,,,
,P04D0001,15/08/1983,,,D,,,
,P04D0001,28/08/1983,,,D,,,
,P04D0001,13/09/1983,,,D,,,
,P04D0001,27/09/1983,,,D,,,
,P04D0001,14/11/1983,,,D,,,
,P04D0001,29/11/1983,,131,,,,
,P04D0001,28/12/1983,,,D,,,
,P04D0001,16/01/1984,,,D,,,
