RAPPORT: GRONDWATERSTANDEN
CATEGORIE: GEMETEN STANDEN
TITEL: Beleidsmeetnet Noord-Brabant Halsteren 
PERIODE: van 01/01/1900 t/m 23/09/2015
GEBRUIKER: NM
DATUM: 23/09/2015

PUT CLUSTER,PUT,BUIS,OLGA,PUT CONSTRUCTIE,BUIS CONSTRUCTIE,X COORDINAAT (m),Y COORDINAAT (m),MAAIVELD (cm NAP),MAAIVELD GESCHAT,START DATUM,EIND DATUM,MEETPUNT (cm NAP),MEETPUNT (cm MV),BOVENKANT FILTER (cm NAP),ONDERKANT FILTER (cm NAP),LENGTE STIJGBUIS + FILTER (cm)
,B49B0682,001,,P,B,79897,394917,-62,N,01/01/2007,26/10/2012,15,77,-302,-402,417
,B49B0682,001,,P,B,79897,394917,-49,N,26/10/2012,,12,74,-276,-376,388
,B49B0682,002,,P,B,79897,394917,-62,N,01/01/2007,26/10/2012,12,74,-1232,-1332,1344
,B49B0682,002,,P,B,79897,394917,-49,N,26/10/2012,,8,57,-1272,-1372,1380
,B49B0682,003,,P,B,79897,394917,-62,N,01/01/2007,26/10/2012,9,71,-2452,-2552,2561
,B49B0682,003,,P,B,79897,394917,-49,N,26/10/2012,,5,54,-2495,-2595,2600
,B49B0683,001,,L,B,79873,394899,-111,N,23/09/2003,26/10/2012,-59,52,-204,-254,195
,B49B0683,001,,L,B,79873,394899,-110,N,26/10/2012,,-64,46,-209,-259,195
,B49E0385,001,,L,B,80055,395795,-130,N,23/09/2003,26/10/2012,-80,50,-227,-277,197
,B49E0385,001,,L,B,80055,395795,-130,N,26/10/2012,,-82,48,-227,-277,195
,B49E0386,001,,P,B,80586,396468,-116,N,07/08/2003,26/10/2012,-65,51,-181,-231,166
,B49E0386,001,,P,B,80586,396468,-117,N,26/10/2012,,-59,58,-149,-199,140
,B49E0386,002,,P,B,80586,396468,-116,N,07/08/2003,26/10/2012,-71,45,-316,-366,295
,B49E0386,002,,P,B,80586,396468,-117,N,26/10/2012,,-64,53,-309,-359,295
,B49E0387,001,,P,B,80747,396576,-160,N,01/08/2006,26/10/2012,-73,87,-370,-470,397
,B49E0387,001,,P,B,80747,396576,-154,N,26/10/2012,,-73,81,-363,-463,390
,B49E0387,003,,P,B,80747,396576,-160,N,01/08/2006,26/10/2012,-79,81,-2770,-2870,2791
,B49E0387,003,,P,B,80747,396576,-154,N,26/10/2012,,-81,73,-2731,-2831,2750

PUT CLUSTER,PUT,BUIS,PEILDATUM,PEILTIJD,STAND (cm NAP),BIJZONDERHEID,KWALITEIT,BETROUWBAARHEID,OPMERKING
,B49B0682,001,15/01/2007,,,N,,,
,B49B0682,001,29/01/2007,,,N,,,
,B49B0682,001,07/02/2007,,-163,,,,
,B49B0682,001,08/02/2007,,-158,,,,
,B49B0682,001,09/02/2007,,-157,,,,
,B49B0682,001,10/02/2007,,-159,,,,
,B49B0682,001,11/02/2007,,-153,,,,
,B49B0682,001,12/02/2007,,-149,,,,
,B49B0682,001,13/02/2007,,-150,,,,
,B49B0682,001,14/02/2007,,-152,,,,
,B49B0682,001,15/02/2007,,-143,,,,
,B49B0682,001,16/02/2007,,-153,,,,
,B49B0682,001,17/02/2007,,-158,,,,
,B49B0682,001,18/02/2007,,-158,,,,
,B49B0682,001,19/02/2007,,-159,,,,
,B49B0682,001,20/02/2007,,-162,,,,
,B49B0682,001,21/02/2007,,-161,,,,
,B49B0682,001,22/02/2007,,-157,,,,
,B49B0682,001,23/02/2007,,-160,,,,
,B49B0682,001,24/02/2007,,-161,,,,
,B49B0682,001,25/02/2007,,-156,,,,
,B49B0682,001,26/02/2007,,-151,,,,
,B49B0682,001,27/02/2007,,-152,,,,
,B49B0682,001,28/02/2007,,-152,,,,
,B49B0682,001,01/03/2007,,-153,,,,
,B49B0682,001,02/03/2007,,-151,,,,
,B49B0682,001,03/03/2007,,-157,,,,
,B49B0682,001,04/03/2007,,-149,,,,
,B49B0682,001,05/03/2007,,-160,,,,
,B49B0682,001,06/03/2007,,-154,,,,
,B49B0682,001,07/03/2007,,-144,,,,
,B49B0682,001,08/03/2007,,-149,,,,
,B49B0682,001,09/03/2007,,-153,,,,
,B49B0682,001,10/03/2007,,-151,,,,
,B49B0682,001,11/03/2007,,-158,,,,
,B49B0682,001,12/03/2007,,-160,,,,
,B49B0682,001,13/03/2007,,-161,,,,
,B49B0682,001,14/03/2007,,-160,,,,
,B49B0682,001,15/03/2007,,-162,,,,
,B49B0682,001,16/03/2007,,-163,,,,
,B49B0682,001,17/03/2007,,-165,,,,
,B49B0682,001,18/03/2007,,-166,,,,
,B49B0682,001,19/03/2007,,-162,,,,
,B49B0682,001,20/03/2007,,-156,,,,
,B49B0682,001,21/03/2007,,-157,,,,
,B49B0682,001,22/03/2007,,-157,,,,
,B49B0682,001,23/03/2007,,-161,,,,
,B49B0682,001,24/03/2007,,-160,,,,
,B49B0682,001,25/03/2007,,-164,,,,
,B49B0682,001,26/03/2007,,-162,,,,
,B49B0682,001,27/03/2007,,-164,,,,
,B49B0682,001,28/03/2007,,-165,,,,
,B49B0682,001,29/03/2007,,-166,,,,
,B49B0682,001,30/03/2007,,-164,,,,
,B49B0682,001,31/03/2007,,-164,,,,
,B49B0682,001,01/04/2007,,-164,,,,
,B49B0682,001,02/04/2007,,-165,,,,
,B49B0682,001,03/04/2007,,-160,,,,
,B49B0682,001,04/04/2007,,-161,,,,
,B49B0682,001,05/04/2007,,-161,,,,
,B49B0682,001,06/04/2007,,-161,,,,
,B49B0682,001,07/04/2007,,-162,,,,
,B49B0682,001,08/04/2007,,-161,,,,
,B49B0682,001,09/04/2007,,-166,,,,
,B49B0682,001,10/04/2007,,-165,,,,
,B49B0682,001,11/04/2007,,-163,,,,
,B49B0682,001,12/04/2007,,-164,,,,
,B49B0682,001,13/04/2007,,-165,,,,
,B49B0682,001,14/04/2007,,-166,,,,
,B49B0682,001,15/04/2007,,-166,,,,
,B49B0682,001,16/04/2007,,-166,,,,
,B49B0682,001,17/04/2007,,-167,,,,
,B49B0682,001,11/10/2008,,-170,,,,
,B49B0682,001,22/05/2009,,-162,,,,
,B49B0682,001,27/11/2009,,-148,,,,
,B49B0682,001,28/11/2009,,-154,,,,
,B49B0682,001,29/11/2009,,-146,,,,
,B49B0682,001,30/11/2009,,-152,,,,
,B49B0682,001,01/12/2009,,-152,,,,
,B49B0682,001,02/12/2009,,-162,,,,
,B49B0682,001,03/12/2009,,-160,,,,
,B49B0682,001,04/12/2009,,-144,,,,
,B49B0682,001,05/12/2009,,-154,,,,
,B49B0682,001,06/12/2009,,-140,,,,
,B49B0682,001,07/12/2009,,-143,,,,
,B49B0682,001,08/12/2009,,-146,,,,
,B49B0682,001,09/12/2009,,-153,,,,
,B49B0682,001,10/12/2009,,-147,,,,
,B49B0682,001,11/12/2009,,-151,,,,
,B49B0682,001,12/12/2009,,-158,,,,
,B49B0682,001,13/12/2009,,-162,,,,
,B49B0682,001,14/12/2009,,-167,,,,
,B49B0682,001,15/12/2009,,-168,,,,
,B49B0682,001,16/12/2009,,-172,,,,
,B49B0682,001,17/12/2009,,-171,,,,
,B49B0682,001,18/12/2009,,-166,,,,
,B49B0682,001,19/12/2009,,-167,,,,
,B49B0682,001,20/12/2009,,-175,,,,
,B49B0682,001,21/12/2009,,-166,,,,
,B49B0682,001,22/12/2009,,-172,,,,
,B49B0682,001,23/12/2009,,-165,,,,
,B49B0682,001,24/12/2009,,-168,,,,
,B49B0682,001,25/12/2009,,-158,,,,
,B49B0682,001,26/12/2009,,-141,,,,
,B49B0682,001,27/12/2009,,-150,,,,
,B49B0682,001,28/12/2009,,-150,,,,
,B49B0682,001,29/12/2009,,-156,,,,
,B49B0682,001,30/12/2009,,-144,,,,
,B49B0682,001,31/12/2009,,-141,,,,
,B49B0682,001,01/01/2010,,-147,,,,
,B49B0682,001,02/01/2010,,-152,,,,
,B49B0682,001,03/01/2010,,-157,,,,
,B49B0682,001,04/01/2010,,-167,,,,
,B49B0682,001,05/01/2010,,-168,,,,
,B49B0682,001,06/01/2010,,-166,,,,
,B49B0682,001,07/01/2010,,-166,,,,
,B49B0682,001,08/01/2010,,-165,,,,
,B49B0682,001,09/01/2010,,-169,,,,
,B49B0682,001,10/01/2010,,-170,,,,
,B49B0682,001,11/01/2010,,-169,,,,
,B49B0682,001,12/01/2010,,-171,,,,
,B49B0682,001,13/01/2010,,-171,,,,
,B49B0682,001,14/01/2010,,-169,,,,
,B49B0682,001,15/01/2010,,-165,,,,
,B49B0682,001,16/01/2010,,-171,,,,
,B49B0682,001,17/01/2010,,-149,,,,
,B49B0682,001,18/01/2010,,-153,,,,
,B49B0682,001,19/01/2010,,-159,,,,
,B49B0682,001,20/01/2010,,-164,,,,
,B49B0682,001,21/01/2010,,-161,,,,
,B49B0682,001,22/01/2010,,-166,,,,
,B49B0682,001,23/01/2010,,-168,,,,
,B49B0682,001,24/01/2010,,-157,,,,
,B49B0682,001,25/01/2010,,-160,,,,
,B49B0682,001,26/01/2010,,-164,,,,
,B49B0682,001,27/01/2010,,-172,,,,
,B49B0682,001,28/01/2010,,-167,,,,
,B49B0682,001,29/01/2010,,-170,,,,
,B49B0682,001,30/01/2010,,-153,,,,
,B49B0682,001,31/01/2010,,-157,,,,
,B49B0682,001,01/02/2010,,-160,,,,
,B49B0682,001,02/02/2010,,-159,,,,
,B49B0682,001,03/02/2010,,-134,,,,
,B49B0682,001,04/02/2010,,-150,,,,
,B49B0682,001,05/02/2010,,-157,,,,
,B49B0682,001,06/02/2010,,-156,,,,
,B49B0682,001,07/02/2010,,-160,,,,
,B49B0682,001,08/02/2010,,-166,,,,
,B49B0682,001,09/02/2010,,-165,,,,
,B49B0682,001,10/02/2010,,-169,,,,
,B49B0682,001,11/02/2010,,-166,,,,
,B49B0682,001,12/02/2010,,-169,,,,
,B49B0682,001,13/02/2010,,-169,,,,
,B49B0682,001,14/02/2010,,-172,,,,
,B49B0682,001,15/02/2010,,-171,,,,
,B49B0682,001,16/02/2010,,-172,,,,
,B49B0682,001,17/02/2010,,-172,,,,
,B49B0682,001,18/02/2010,,-168,,,,
,B49B0682,001,19/02/2010,,-170,,,,
,B49B0682,001,20/02/2010,,-168,,,,
,B49B0682,001,21/02/2010,,-169,,,,
,B49B0682,001,22/02/2010,,-170,,,,
,B49B0682,001,23/02/2010,,-148,,,,
