Format Name;HydroMonitor - open data exchange format;;;;;;;;;;;;;;;;;;
Format Version;1.1;;;;;;;;;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;;;;;;;;;
File Type;CSV;;;;;;;;;;;;;;;;;;
File Contents;Header;Metadata;Data;;;;;;;;;;;;;;;;
Object Type;ObservationWell;;;;;;;;;;;;;;;;;;
Object Identification;Name;FilterNo;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Name;NITGCode;OLGACode;FilterNo;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;WellTopLevel;FilterTopLevel;FilterBottomLevel;WellBottomLevel;LoggerSerial;LoggerDepth;LoggerBrand;LoggerType;Comment;CommentBy;Organization;Status
[String];[String];[String];[Integer];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[m+ref];[m+ref];[String];[m];[Categorical];[Categorical];[String];[String];[String];[Categorical]
B16B0114;B16B0114;16BP0114;1;23-6-1980 8:00;191741;538215;0,04;0,46;-5,54;-6,54;-6,54;;;;;;;Provincie Overijssel;Changed
B16B0114;B16B0114;16BP0114;1;9-12-1999 8:00;191741;538215;-0,19;0,45;-5,461;-6,461;-6,461;;;;;;;Provincie Overijssel;Changed
B16B0114;B16B0114;16BP0114;1;11-3-2004 8:00;191741;538215;-0,197;0,439;-5,461;-6,461;-6,461;1636;4,935;Keller;Relative;;;Provincie Overijssel;Changed
B16B0114;B16B0114;16BP0114;1;9-9-2005 9:00;191741;538215;-0,197;0,439;-5,461;-6,461;-6,461;1623;3,5;Keller;Relative;;;Provincie Overijssel;Changed
B16B0114;B16B0114;16BP0114;1;15-9-2006 9:00;191741;538215;-0,197;0,439;-5,461;-6,461;-6,461;3257;5;Keller;Relative;;;Provincie Overijssel;Active
;;;;;;;;;;;;;;;;;;;
Name;FilterNo;DateTime;LoggerHead;ManualHead;;;;;;;;;;;;;;;
[String];[Integer];[dd-mm-yyyy HH:MM];[m+ref];[m+ref];;;;;;;;;;;;;;;
B16B0114;1;29-9-1980 0:00;-0,95;;;;;;;;;;;;;;;;
B16B0114;1;28-10-1980 0:00;-0,99;;;;;;;;;;;;;;;;
B16B0114;1;28-11-1980 0:00;-1;;;;;;;;;;;;;`;;;
B16B0114;1;28-1-1981 0:00;-1,05;;;;;;;;;;;;;;;;
B16B0114;1;27-2-1981 0:00;-1,01;;;;;;;;;;;;;;;;
B16B0114;1;27-3-1981 0:00;-1,06;;;;;;;;;;;;;;;;
B16B0114;1;28-4-1981 0:00;-0,98;;;;;;;;;;;;;;;;
B16B0114;1;27-5-1981 0:00;-0,95;;;;;;;;;;;;;;;;
B16B0114;1;29-6-1981 0:00;-0,85;;;;;;;;;;;;;;;;
B16B0114;1;28-7-1981 0:00;-0,84;;;;;;;;;;;;;;;;
B16B0114;1;28-8-1981 0:00;-1,01;;;;;;;;;;;;;;;;
B16B0114;1;28-9-1981 0:00;-0,85;;;;;;;;;;;;;;;;
B16B0114;1;28-10-1981 0:00;-1,03;;;;;;;;;;;;;;;;
B16B0114;1;27-11-1981 0:00;-0,96;;;;;;;;;;;;;;;;
B16B0114;1;28-1-1982 0:00;-0,95;;;;;;;;;;;;;;;;
B16B0114;1;1-3-1982 0:00;-1,08;;;;;;;;;;;;;;;;
B16B0114;1;29-3-1982 0:00;-1,09;;;;;;;;;;;;;;;;
B16B0114;1;28-4-1982 0:00;-1,02;;;;;;;;;;;;;;;;
B16B0114;1;28-5-1982 0:00;-1,03;;;;;;;;;;;;;;;;
B16B0114;1;28-6-1982 0:00;-0,97;;;;;;;;;;;;;;;;
