Format;HydroMonitor - open data exchange file;;;;;;;;;;
Format Version;1.0;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;
Format Type;CSV;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;
Object Type;PumpingWell;;;;;;;;;;
Object ID Fields;Name;FilterNo;;;;;;;;;
;;;;;;;;;;;
Name;FilterNo;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;WellTopLevel;FilterTopLevel;FilterBottomLevel;WellBottomLevel;Comment;CommentBy
[String];[Integer];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[m+ref];[m+ref];[String];[String]
Well1;1;15-6-1970 0:00;187930;378630;30,37;30,76;21;20;20;;
Well2;1;15-6-1970 0:00;189790;382110;30,16;30,74;23,74;22,74;22,74;;
Well3;1;15-6-1970 0:00;187360;377180;27,86;28,09;11,09;10,09;10,09;;
Well4;1;1-6-2003 0:00;189440;383320;30,78;30,72;28,21;27,21;27,21;;
Well4;1;14-11-1992 0:00;189440;383320;30,78;30,71;28,21;27,21;27,21;;
;;;;;;;;;;;
Name;FilterNo;DateTime;Volume;;;;;;;;
[String];[Integer];[dd-mm-yyyy HH:MM];[m^3];;;;;;;;
Well1;1;27-5-1966 1:00;28,19;;;;;;;;
Well1;1;14-6-1966 1:00;28;;;;;;;;
Well1;1;28-6-1966 1:00;28,5;;;;;;;;
Well1;1;28-7-1966 1:00;28,45;;;;;;;;
Well1;1;15-8-1966 1:00;28,31;;;;;;;;
Well1;1;29-8-1966 1:00;28,19;;;;;;;;
Well1;1;14-9-1966 1:00;28,12;;;;;;;;
Well1;1;28-9-1966 1:00;28,03;;;;;;;;
Well1;1;14-10-1966 1:00;28;;;;;;;;
Well1;1;28-10-1966 1:00;28,34;;;;;;;;
Well1;1;14-11-1966 1:00;28,57;;;;;;;;
Well1;1;28-11-1966 1:00;28,72;;;;;;;;
Well1;1;14-12-1966 1:00;28,94;;;;;;;;
Well1;1;28-12-1966 1:00;28,86;;;;;;;;
Well1;1;13-1-1967 1:00;28,8;;;;;;;;
Well1;1;27-1-1967 1:00;28,73;;;;;;;;
Well1;1;14-2-1967 1:00;28,48;;;;;;;;
Well1;1;28-2-1967 1:00;28,72;;;;;;;;
Well1;1;14-3-1967 1:00;28,61;;;;;;;;
Well1;1;28-3-1967 1:00;28,5;;;;;;;;
Well1;1;14-4-1967 1:00;28,46;;;;;;;;
Well1;1;28-4-1967 1:00;28,26;;;;;;;;
Well1;1;16-5-1967 1:00;28,1;;;;;;;;
Well1;1;29-5-1967 1:00;28,19;;;;;;;;
Well1;1;14-6-1967 1:00;28,04;;;;;;;;
Well1;1;28-6-1967 1:00;27,91;;;;;;;;
Well1;1;14-7-1967 1:00;27,66;;;;;;;;
Well1;1;28-7-1967 1:00;27,8;;;;;;;;
Well1;1;14-8-1967 1:00;27,9;;;;;;;;
Well1;1;28-8-1967 1:00;27,76;;;;;;;;
Well1;1;14-9-1967 1:00;27,86;;;;;;;;
Well1;1;27-9-1967 1:00;27,8;;;;;;;;
Well1;1;27-10-1967 1:00;28,08;;;;;;;;
Well1;1;14-11-1967 1:00;28,21;;;;;;;;
