Format;HydroMonitor - open data exchange format;;;;;;;;;;;
Format Version;1.0;;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;;
Format Type;CSV;;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;;
Object Type;SurfaceWaterLevelGauge;;;;;;;;;;;
Object ID Fields;NITGCode;;;;;;;;;;;
;;;;;;;;;;;;
Name;NITGCode;OLGACode;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;GaugeTopLevel;GaugeBottomLevel;LoggerSerial;LoggerDepth;Comment;CommentBy
[String];[String];[String];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[String];[-m+welltop];[String];[String]
LocalName1;P520089;;15-6-1970 0:00;187930;378630;30,37;30,76;20;;;;
LocalName2;P520151;;15-6-1970 0:00;189790;382110;30,16;30,74;22,74;;;;
LocalName3;P520156;;15-6-1970 0:00;187360;377180;27,86;28,09;10,09;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,74;29,24;;;;
LocalName4;P520281;;1-6-2003 0:00;189440;383320;30,78;30,72;27,21;;;;
LocalName4;P520281;;14-11-1992 0:00;189440;383320;30,78;30,71;27,21;;;;
;;;;;;;;;;;;
NITGCode;DateTime;Level;;;;;;;;;;
[String];[dd-mm-yyyy HH:MM];[m+ref];;;;;;;;;;
P520089;27-5-1966 1:00;28,19;;;;;;;;;;
P520089;14-6-1966 1:00;28;;;;;;;;;;
P520089;28-6-1966 1:00;28,5;;;;;;;;;;
P520089;28-7-1966 1:00;28,45;;;;;;;;;;
P520089;15-8-1966 1:00;28,31;;;;;;;;;;
P520089;29-8-1966 1:00;28,19;;;;;;;;;;
P520089;14-9-1966 1:00;28,12;;;;;;;;;;
P520089;28-9-1966 1:00;28,03;;;;;;;;;;
P520089;14-10-1966 1:00;28;;;;;;;;;;
P520089;28-10-1966 1:00;28,34;;;;;;;;;;
P520089;14-11-1966 1:00;28,57;;;;;;;;;;
P520089;28-11-1966 1:00;28,72;;;;;;;;;;
P520089;14-12-1966 1:00;28,94;;;;;;;;;;
P520089;28-12-1966 1:00;28,86;;;;;;;;;;
P520089;13-1-1967 1:00;28,8;;;;;;;;;;
P520089;27-1-1967 1:00;28,73;;;;;;;;;;
P520089;14-2-1967 1:00;28,48;;;;;;;;;;
P520089;28-2-1967 1:00;28,72;;;;;;;;;;
P520089;14-3-1967 1:00;28,61;;;;;;;;;;
P520089;28-3-1967 1:00;28,5;;;;;;;;;;
P520089;14-4-1967 1:00;28,46;;;;;;;;;;
P520089;28-4-1967 1:00;28,26;;;;;;;;;;
P520089;16-5-1967 1:00;28,1;;;;;;;;;;
P520089;29-5-1967 1:00;28,19;;;;;;;;;;
P520089;14-6-1967 1:00;28,04;;;;;;;;;;
P520089;28-6-1967 1:00;27,91;;;;;;;;;;
P520089;14-7-1967 1:00;27,66;;;;;;;;;;
P520089;28-7-1967 1:00;27,8;;;;;;;;;;
P520089;14-8-1967 1:00;27,9;;;;;;;;;;
P520089;28-8-1967 1:00;27,76;;;;;;;;;;
P520089;14-9-1967 1:00;27,86;;;;;;;;;;
P520089;27-9-1967 1:00;27,8;;;;;;;;;;
P520089;27-10-1967 1:00;28,08;;;;;;;;;;
P520089;14-11-1967 1:00;28,21;;;;;;;;;;
P520089;28-11-1967 1:00;28,26;;;;;;;;;;
P520089;14-12-1967 1:00;28,55;;;;;;;;;;
P520089;28-12-1967 1:00;28,67;;;;;;;;;;
P520089;15-1-1968 1:00;28,76;;;;;;;;;;
P520089;29-1-1968 1:00;28,56;;;;;;;;;;
P520089;28-2-1968 1:00;28,31;;;;;;;;;;
P520089;14-3-1968 1:00;28,41;;;;;;;;;;
P520089;28-3-1968 1:00;28,24;;;;;;;;;;
P520089;16-4-1968 1:00;28,16;;;;;;;;;;
P520089;29-4-1968 1:00;27,94;;;;;;;;;;
P520089;14-5-1968 1:00;28,05;;;;;;;;;;
P520089;28-6-1968 1:00;28,03;;;;;;;;;;
P520089;29-7-1968 1:00;27,95;;;;;;;;;;
P520089;14-8-1968 1:00;28,26;;;;;;;;;;
P520089;28-8-1968 1:00;28,16;;;;;;;;;;
P520089;13-9-1968 1:00;28,3;;;;;;;;;;
P520089;27-9-1968 1:00;28,71;;;;;;;;;;
P520089;14-10-1968 1:00;28,51;;;;;;;;;;
P520089;28-10-1968 1:00;28,56;;;;;;;;;;
P520089;14-11-1968 1:00;28,33;;;;;;;;;;
