1;2;3;4;5;6;7;8;9;10;
NITGNR;FILTER NR;X COORD;Y COORD;SURFACE LEV (m-ref);TOP FILTER (m-ref);BOTTOM FILTER (m-ref);MEAS POINT LEV (m-ref);SED SUMP LENGTH (m);START DATE 
B16B0114;1;191741;538215;-0,197;-5,551;-6,551;0,439;0;15-09-2006 09:00
B16B0114;1;191741;538215;-0,197;-5,551;-6,551;0,439;0;09-09-2005 09:00
B16B0114;1;191741;538215;-0,197;-5,551;-6,551;0,439;0;11-03-2004 12:00
B16B0114;1;191741;538215;-0,19;-5,54;-6,54;0,45;0;09-12-1999 12:00
B16B0114;1;191741;538215;0,04;-5,54;-6,54;0,46;0;23-06-1980 12:00
B16B0114;3;191741;538215;-0,197;-23,637;-24,637;0,363;0;22-09-2005 08:00
B16B0114;3;191741;538215;-0,197;-23,637;-24,637;0,363;0;11-03-2004 12:00
B16B0114;3;191741;538215;-0,19;-23,62;-24,62;0,38;0;09-12-1999 12:00
B16B0114;3;191741;538215;0,04;-23,62;-24,62;0,38;0;23-06-1980 12:00

NITGNR;FILTER NR;DATE;VALUE (m-ref)
B16B0114;1;29-09-1980 00:00;   -0,95
B16B0114;1;28-10-1980 00:00;   -0,99
B16B0114;1;28-11-1980 00:00;      -1
B16B0114;1;28-01-1981 00:00;   -1,05
B16B0114;1;27-02-1981 00:00;   -1,01
B16B0114;1;27-03-1981 00:00;   -1,06
B16B0114;1;28-04-1981 00:00;   -0,98
B16B0114;1;27-05-1981 00:00;   -0,95
B16B0114;1;29-06-1981 00:00;   -0,85
B16B0114;1;28-07-1981 00:00;   -0,84
B16B0114;1;28-08-1981 00:00;   -1,01
B16B0114;1;28-09-1981 00:00;   -0,85
B16B0114;1;28-10-1981 00:00;   -1,03
B16B0114;1;27-11-1981 00:00;   -0,96
B16B0114;1;28-01-1982 00:00;   -0,95
B16B0114;1;01-03-1982 00:00;   -1,08
B16B0114;1;29-03-1982 00:00;   -1,09
B16B0114;1;28-04-1982 00:00;   -1,02
B16B0114;1;28-05-1982 00:00;   -1,03
B16B0114;1;28-06-1982 00:00;   -0,97
B16B0114;1;28-07-1982 00:00;   -1,02
B16B0114;1;27-08-1982 00:00;   -0,93
B16B0114;1;28-09-1982 00:00;   -0,92
B16B0114;1;28-10-1982 00:00;   -1,06
B16B0114;1;29-11-1982 00:00;   -1,06
B16B0114;1;28-12-1982 00:00;   -1,06
B16B0114;1;28-01-1983 00:00;   -1,04
B16B0114;1;28-02-1983 00:00;   -1,19
B16B0114;1;28-03-1983 00:00;   -1,15
B16B0114;1;28-04-1983 00:00;   -1,09
B16B0114;1;27-05-1983 00:00;   -1,12
B16B0114;1;28-06-1983 00:00;   -0,98
B16B0114;1;28-07-1983 00:00;   -0,84
B16B0114;1;29-08-1983 00:00;   -0,86
B16B0114;1;28-10-1983 00:00;   -1,16
B16B0114;1;28-11-1983 00:00;   -1,19
B16B0114;1;28-12-1983 00:00;   -1,16
B16B0114;1;27-01-1984 00:00;   -1,14
B16B0114;1;28-02-1984 00:00;    -1,2
B16B0114;1;28-03-1984 00:00;   -1,22
B16B0114;1;27-04-1984 00:00;   -1,02
B16B0114;1;28-05-1984 00:00;   -0,99
B16B0114;1;27-07-1984 00:00;      -1
B16B0114;1;11-09-1984 00:00;   -0,89
B16B0114;1;28-09-1984 00:00;      -1
B16B0114;1;28-11-1984 00:00;   -1,16
B16B0114;1;28-12-1984 00:00;   -1,16
B16B0114;1;02-02-1985 00:00;   -0,94
B16B0114;1;28-02-1985 00:00;   -1,15
B16B0114;1;28-03-1985 00:00;   -1,18
B16B0114;1;26-04-1985 00:00;   -1,14
B16B0114;1;28-05-1985 00:00;   -1,05
B16B0114;1;28-06-1985 00:00;   -1,04
B16B0114;1;29-07-1985 00:00;   -0,95
B16B0114;1;28-08-1985 00:00;   -1,14
B16B0114;1;27-09-1985 00:00;   -1,12
B16B0114;1;28-10-1985 00:00;   -1,19
B16B0114;1;28-11-1985 00:00;    -1,2
B16B0114;1;27-12-1985 00:00;   -1,12
B16B0114;1;28-01-1986 00:00;   -1,18
B16B0114;1;28-02-1986 00:00;   -1,29
B16B0114;1;02-04-1986 00:00;   -1,29
B16B0114;1;28-05-1986 00:00;   -1,29
B16B0114;1;29-09-1986 00:00;   -1,19
B16B0114;1;03-11-1986 00:00;   -1,03
B16B0114;1;19-12-1986 00:00;   -1,09
B16B0114;1;26-02-1987 00:00;   -1,24
B16B0114;1;01-04-1987 00:00;   -1,16
B16B0114;1;16-05-1987 00:00;   -1,03
B16B0114;1;25-06-1988 00:00;   -1,08
B16B0114;1;28-07-1988 00:00;   -1,07
B16B0114;1;29-08-1988 00:00;   -0,94
B16B0114;1;08-10-1988 00:00;      -1
B16B0114;1;01-11-1988 00:00;   -1,17
B16B0114;1;03-12-1988 00:00;   -1,15
B16B0114;1;16-01-1989 00:00;   -1,17
B16B0114;1;28-01-1989 00:00;    -1,2
B16B0114;1;25-02-1989 00:00;   -1,15
B16B0114;1;25-03-1989 00:00;   -1,08
B16B0114;1;27-04-1989 00:00;   -1,14
B16B0114;1;24-05-1989 00:00;   -1,08
B16B0114;1;25-06-1989 00:00;      -1
B16B0114;1;28-07-1989 00:00;   -1,01
B16B0114;1;26-08-1989 00:00;    -1,1
B16B0114;1;28-09-1989 00:00;   -1,11
B16B0114;1;01-11-1989 00:00;   -1,03
B16B0114;1;25-11-1989 00:00;   -1,18
B16B0114;1;28-12-1989 00:00;    -1,1
B16B0114;1;31-01-1990 00:00;    -1,1
B16B0114;1;15-03-1990 00:00;   -1,13
B16B0114;1;28-03-1990 00:00;   -1,15
B16B0114;1;30-04-1990 00:00;   -1,08
B16B0114;1;28-05-1990 00:00;   -1,07
B16B0114;1;30-06-1990 00:00;   -1,08
B16B0114;1;26-07-1990 00:00;    -1,1
B16B0114;1;28-08-1990 00:00;   -1,06
B16B0114;1;02-10-1990 00:00;   -1,03
B16B0114;1;14-11-1990 00:00;   -1,05
B16B0114;1;06-12-1990 00:00;   -1,11
B16B0114;1;04-01-1991 00:00;   -1,07
B16B0114;1;26-01-1991 00:00;   -1,12
B16B0114;1;28-02-1991 00:00;   -1,13
B16B0114;1;04-04-1991 00:00;   -1,15
B16B0114;1;01-05-1991 00:00;   -1,08
B16B0114;1;05-06-1991 00:00;   -1,05
B16B0114;1;09-07-1991 00:00;   -0,96
B16B0114;1;29-07-1991 00:00;      -1
B16B0114;1;19-09-1991 00:00;   -1,11
B16B0114;1;07-10-1991 00:00;   -1,03
B16B0114;1;20-11-1991 00:00;    -1,1
B16B0114;1;29-11-1991 00:00;   -1,11
B16B0114;1;27-12-1991 00:00;   -1,14
B16B0114;1;28-01-1992 00:00;   -1,15
B16B0114;1;01-03-1992 00:00;   -1,09
B16B0114;1;27-03-1992 00:00;   -1,01
B16B0114;1;27-04-1992 00:00;      -1
B16B0114;1;02-06-1992 00:00;   -1,01
B16B0114;1;29-06-1992 00:00;   -1,09
B16B0114;1;06-08-1992 00:00;    -1,1
B16B0114;1;31-08-1992 00:00;   -1,05
B16B0114;1;30-09-1992 00:00;   -1,08
B16B0114;1;05-11-1992 00:00;    -1,1
B16B0114;1;08-12-1992 00:00;   -1,08
B16B0114;1;04-03-1993 00:00;   -1,16
B16B0114;1;05-04-1993 00:00;    -1,1
B16B0114;1;05-05-1993 00:00;    -1,1
B16B0114;1;05-06-1993 00:00;   -1,05
B16B0114;1;03-07-1993 00:00;   -1,09
B16B0114;1;04-08-1993 00:00;   -0,99
B16B0114;1;07-09-1993 00:00;      -1
B16B0114;1;11-10-1993 00:00;   -1,12
B16B0114;1;13-11-1993 00:00;   -1,04
B16B0114;1;29-11-1993 00:00;    -1,2
B16B0114;1;14-12-1993 00:00;   -1,04
B16B0114;1;28-12-1993 00:00;   -1,07
B16B0114;1;14-01-1994 00:00;   -1,08
B16B0114;1;28-01-1994 00:00;   -1,09
B16B0114;1;14-02-1994 00:00;   -1,19
B16B0114;1;28-02-1994 00:00;   -1,16
B16B0114;1;14-03-1994 00:00;   -1,13
B16B0114;1;28-03-1994 00:00;   -1,09
B16B0114;1;28-04-1994 00:00;   -1,16
B16B0114;1;16-05-1994 00:00;   -1,25
B16B0114;1;27-05-1994 00:00;   -0,99
B16B0114;1;14-06-1994 00:00;   -0,99
B16B0114;1;28-06-1994 00:00;   -1,05
B16B0114;1;14-07-1994 00:00;   -1,04
B16B0114;1;28-07-1994 00:00;    -1,1
B16B0114;1;15-08-1994 00:00;   -1,04
B16B0114;1;29-08-1994 00:00;   -1,03
B16B0114;1;13-09-1994 00:00;   -1,03
B16B0114;1;27-09-1994 00:00;   -1,05
B16B0114;1;17-10-1994 00:00;   -1,09
B16B0114;1;28-10-1994 00:00;   -1,06
B16B0114;1;14-11-1994 00:00;   -1,03
B16B0114;1;28-11-1994 00:00;   -1,12
B16B0114;1;15-12-1994 00:00;   -1,12
B16B0114;1;29-12-1994 00:00;   -1,03
B16B0114;1;13-01-1995 00:00;   -1,09
B16B0114;1;27-01-1995 00:00;   -0,97
